POS_04_POS,POS_04_HBD,POS_07_HBD,POS_04_HBA,POS_06_HBA,POS_07_HBA,POS_02_ARC,POS_04_ARC,POS_05_ARC,POS_06_ARC,POS_07_ARC,POS_03_HYP,POS_06_HYP,POS_07_HYP,HBD_02_ARC,HBD_04_ARC,HBD_05_ARC,HBD_06_ARC,HBD_07_ARC,HBA_03_HBA,HBA_05_HBA,HBA_06_HBA,HBA_07_HBA,HBA_03_ARC,HBA_04_ARC,HBA_05_ARC,HBA_06_ARC,HBA_07_ARC,HBA_02_HYP,HBA_04_HYP,HBA_05_HYP,HBA_06_HYP,HBA_07_HYP,ARC_01_ARC,ARC_02_ARC,ARC_03_ARC,ARC_04_ARC,ARC_05_ARC,ARC_06_ARC,ARC_07_ARC,ARC_02_HYP,ARC_03_HYP,ARC_04_HYP,ARC_05_HYP,ARC_06_HYP,ARC_07_HYP,HYP_03_HYP,HYP_05_HYP,HYP_06_HYP,WBN_GC_L_0.25,WBN_GC_H_0.25,WBN_GC_L_0.50,WBN_GC_H_0.50,WBN_GC_L_0.75,WBN_GC_H_0.75,WBN_GC_L_1.00,WBN_GC_H_1.00,WBN_EN_L_0.25,WBN_EN_H_0.25,WBN_EN_L_0.50,WBN_EN_H_0.50,WBN_EN_L_0.75,WBN_EN_H_0.75,WBN_EN_L_1.00,WBN_EN_H_1.00,WBN_LP_L_0.25,WBN_LP_H_0.25,WBN_LP_L_0.50,WBN_LP_H_0.50,WBN_LP_L_0.75,WBN_LP_H_0.75,WBN_LP_L_1.00,WBN_LP_H_1.00,XLogP,PSA,NumRot,NumHBA,NumHBD,MW,BBB,BadGroup,Outcome
0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.79895,1.14864,-1.98553,1.96311,-2.77452,2.82392,-3.60504,3.70047,-0.777344,1.36482,-1.60725,2.15344,-2.45806,3.00643,-3.31844,3.88118,-1.02836,1.1275,-1.80381,1.97005,-2.63725,2.84667,-3.49045,3.73234,4.25,74.45,4,3,0,317.458,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,-2.21795,2.17674,-2.34705,2.33357,-2.81108,3.19759,-3.62381,4.12032,-0.795771,1.36194,-1.64833,2.22887,-2.52011,3.16173,-3.39955,4.11088,-0.934619,1.34009,-1.74263,2.19606,-2.60823,3.12516,-3.48631,4.07257,4.859,104.29,6,5,2,417.469,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.40635,1.43992,-2.00891,2.11021,-2.70017,2.98599,-3.45896,3.89188,-0.757691,1.45051,-1.55691,2.23696,-2.37821,3.11087,-3.2105,4.01487,-0.910321,1.10612,-1.67859,2.01177,-2.50079,2.93325,-3.33689,3.85958,2.69,104.1,4,2,2,343.456,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.40635,1.43976,-2.00896,2.10962,-2.70034,2.98578,-3.45928,3.892,-0.757693,1.45056,-1.55691,2.23722,-2.37822,3.11141,-3.21051,4.01568,-0.910301,1.10649,-1.67853,2.01246,-2.50072,2.93421,-3.33682,3.8608,3.048,104.1,5,2,2,357.483,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-2.19263,1.97683,-2.4852,2.56385,-3.01459,3.3467,-3.72818,4.22063,-0.839681,1.35556,-1.7147,2.20589,-2.60335,3.12971,-3.49817,4.07299,-0.87049,1.31574,-1.69237,2.1951,-2.57425,3.13493,-3.46894,4.08623,4.817,74.33,3,3,0,334.331,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,-2.30574,2.07938,-2.55378,2.6756,-3.00606,3.45083,-3.70861,4.29787,-0.839874,1.32929,-1.71513,2.14347,-2.60391,3.03928,-3.4988,3.95705,-0.88323,1.14985,-1.70801,2.06457,-2.58895,2.99209,-3.48301,3.9238,3.343,95.95,6,5,0,328.276,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.82714,1.40338,-2.18975,2.02345,-2.67255,2.80041,-3.22984,3.6223,-0.784992,1.4444,-1.57023,2.18096,-2.35562,2.97811,-3.14111,3.80163,-0.838447,1.1267,-1.50028,1.95521,-2.24609,2.8009,-3.01386,3.6547,4.532,51.81,5,0,0,327.387,1,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,-2.40413,1.5008,-2.53899,2.18287,-2.80073,2.98821,-3.2812,3.82333,-0.779013,1.44537,-1.57302,2.18919,-2.37234,2.99955,-3.17417,3.83825,-0.838446,1.07445,-1.50431,1.92481,-2.29015,2.79096,-3.08783,3.66158,3.466,70.27,6,2,0,311.341,0,0,Active
0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.79891,1.36977,-1.94449,1.97418,-2.58697,2.79142,-3.3736,3.64301,-0.788848,1.42937,-1.59242,2.16254,-2.40562,2.97018,-3.2252,3.80848,-1.02475,1.14033,-1.74771,1.97901,-2.53165,2.83363,-3.33822,3.69609,3.979,51.14,3,2,0,318.38,1,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-2.26529,2.39312,-2.38258,2.84569,-2.61596,3.41469,-3.00001,4.04498,-0.566626,2.40127,-1.19233,2.67181,-1.83595,3.08414,-2.53146,3.68467,-1.03835,0.945896,-1.66911,1.7403,-2.35209,2.54828,-3.04839,3.36014,3.516,108.56,12,5,2,393.431,0,1,Active
