NEG_02_ARC,NEG_07_ARC,POS_04_HBA,POS_06_HBA,POS_02_ARC,POS_03_ARC,POS_05_ARC,POS_06_ARC,POS_07_ARC,POS_02_HYP,POS_03_HYP,HBD_05_HBD,HBD_05_HBA,HBD_07_HBA,HBD_02_ARC,HBD_03_ARC,HBD_04_ARC,HBD_05_ARC,HBD_06_ARC,HBD_07_ARC,HBD_04_HYP,HBA_03_HBA,HBA_04_HBA,HBA_05_HBA,HBA_06_HBA,HBA_07_HBA,HBA_03_ARC,HBA_04_ARC,HBA_05_ARC,HBA_06_ARC,HBA_07_ARC,HBA_02_HYP,HBA_03_HYP,HBA_04_HYP,HBA_05_HYP,HBA_06_HYP,HBA_07_HYP,ARC_01_ARC,ARC_02_ARC,ARC_03_ARC,ARC_04_ARC,ARC_05_ARC,ARC_06_ARC,ARC_07_ARC,ARC_02_HYP,ARC_03_HYP,ARC_04_HYP,ARC_05_HYP,ARC_06_HYP,ARC_07_HYP,HYP_01_HYP,HYP_02_HYP,HYP_03_HYP,HYP_04_HYP,HYP_05_HYP,WBN_GC_L_0.25,WBN_GC_H_0.25,WBN_GC_L_0.50,WBN_GC_H_0.50,WBN_GC_L_0.75,WBN_GC_H_0.75,WBN_GC_L_1.00,WBN_GC_H_1.00,WBN_EN_L_0.25,WBN_EN_H_0.25,WBN_EN_L_0.50,WBN_EN_H_0.50,WBN_EN_L_0.75,WBN_EN_H_0.75,WBN_EN_L_1.00,WBN_EN_H_1.00,WBN_LP_L_0.25,WBN_LP_H_0.25,WBN_LP_L_0.50,WBN_LP_H_0.50,WBN_LP_L_0.75,WBN_LP_H_0.75,WBN_LP_L_1.00,WBN_LP_H_1.00,XLogP,PSA,NumRot,NumHBA,NumHBD,MW,BBB,BadGroup,Outcome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.25444,1.86982,-2.38003,2.30227,-2.626,2.88904,-3.28086,3.69306,-0.812738,1.23894,-1.63123,1.973,-2.45215,2.83351,-3.27431,3.71666,-0.862686,1.19544,-1.52108,2.08559,-2.21301,2.98054,-3.01392,3.87679,2.188,71.19,6,4,1,260.293,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.30562,2.08385,-2.5534,2.53568,-2.93234,3.18458,-3.57869,3.99207,-0.776312,1.58199,-1.57071,2.45195,-2.38476,3.35007,-3.21757,4.26012,-1.08911,1.12937,-1.9336,1.99307,-2.79658,2.88865,-3.66737,3.79864,3.581,125.8,5,5,1,347.352,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-1.57191,1.58084,-2.00359,2.10307,-2.65842,2.86725,-3.35541,3.70371,-0.768909,1.44073,-1.54699,2.19105,-2.33086,3.01808,-3.11857,3.87261,-0.844947,1.10898,-1.56167,1.93457,-2.32417,2.79561,-3.10192,3.66921,4.348,51.96,4,2,0,310.397,1,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.43049,1.59028,-1.869,2.13898,-2.54601,2.95806,-3.29568,3.83731,-0.78635,1.52814,-1.59679,2.30437,-2.41896,3.15221,-3.24596,4.03038,-0.845874,1.1329,-1.57606,2.01307,-2.37124,2.91487,-3.18898,3.82261,3.678,47.78,2,1,0,237.262,1,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.79892,1.53166,-1.94543,2.08886,-2.42056,2.85873,-3.13505,3.6773,-0.777077,2.3346,-1.56952,2.46135,-2.36835,2.82477,-3.17035,3.58018,-0.842892,1.11769,-1.55785,1.93806,-2.32915,2.77137,-3.11861,3.61123,2.73,58.64,5,5,1,328.343,1,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44394,1.55726,-1.83979,2.1396,-2.47903,2.88146,-3.24758,3.6831,-0.79739,1.46053,-1.6008,2.22007,-2.40766,3.02734,-3.2167,3.85287,-0.812523,1.28787,-1.48159,2.05156,-2.2419,2.88637,-3.0352,3.73565,3.902,73.8,2,2,1,216.244,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17464,1.27709,-1.85104,2.11412,-2.66259,2.99581,-3.50184,3.89446,-0.78489,1.5368,-1.60082,2.3739,-2.42791,3.24221,-3.26222,4.12803,-1.07978,1.11308,-1.90757,1.97489,-2.75337,2.87496,-3.60768,3.78447,2.241,108.57,3,3,1,291.357,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39408,1.3363,-2.52061,2.06278,-2.76956,2.91475,-3.59148,3.78658,-0.780555,1.53936,-1.57501,2.3763,-2.3946,3.2393,-3.22792,4.11523,-1.08108,1.1205,-1.91114,1.95834,-2.75897,2.82317,-3.61512,3.70235,2.903,75.3,5,6,0,448.972,0,0,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63479,1.88123,-2.13019,2.56496,-2.89746,3.4316,-3.74059,4.35137,-0.77184,1.47129,-1.59427,2.38588,-2.50033,3.34561,-3.4187,4.31781,-1.09985,1.3163,-1.91454,2.19104,-2.81256,3.1387,-3.72728,4.10486,2.777,61.82,4,2,0,409.671,1,2,Active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1.48408,1.62221,-2.05278,2.21909,-2.69827,3.04728,-3.39478,3.93884,-0.780375,1.5313,-1.59057,2.32355,-2.41097,3.19497,-3.23602,4.09747,-0.848168,1.1274,-1.58163,2.03471,-2.37523,2.95972,-3.19002,3.88967,4.109,78.49,4,1,0,366.384,0,0,Active
